"","logFC","logCPM","LR","PValue","FDR"
"BnaA02g25430D",13.1373526442117,5.54068437520437,281.168358134251,4.17823169853266e-63,2.36061734503698e-58
"BnaC06g15630D",10.1575181566858,4.75781961365063,249.05489910905,4.17332038418507e-56,1.17892127532844e-51
"BnaC02g05610D",-12.2312554121056,5.15347149930247,247.078250558901,1.12569856924451e-55,2.11999059217254e-51
"BnaC04g06880D",9.44948797871631,5.88599263168009,226.352940074796,3.72162538673745e-51,5.2566097774973e-47
"BnaCnng64520D",-9.49203107314748,3.99298308072,215.537261929788,8.50873590945297e-49,8.93657110423891e-45
"BnaA09g00980D",8.38753421029392,5.10476692898516,215.319866096684,9.49049995140243e-49,8.93657110423891e-45
"BnaC09g39490D",-7.50830726669704,5.76409955122257,213.831648996297,2.00421203283541e-48,1.5586220620855e-44
"BnaA09g20730D",9.44563506360015,5.3579440090197,213.63979331661,2.20697661805445e-48,1.5586220620855e-44
"BnaA10g27420D",-11.3461044424781,4.18893817027893,204.949281134996,1.73720928241877e-46,1.09054277820106e-42
"BnaA08g16140D",-11.1086900276886,4.4506096878307,202.856042904784,4.97279921442085e-46,2.66108262687928e-42
"BnaCnng33970D",-7.9263888797014,5.51101719795129,202.774391090766,5.18105223117139e-46,2.66108262687928e-42
"BnaCnng41150D",9.29608885426902,4.41649990137767,202.389732038048,6.28570455489709e-46,2.95941446618813e-42
"BnaA03g52350D",8.39071061246881,3.87957951628064,198.867375529822,3.68977033421891e-45,1.60357418725154e-41
"BnaA09g54870D",-9.93112191005883,7.92483040783333,198.056061141886,5.54693388553181e-45,2.15850741145131e-41
"BnaA06g12970D",9.42774435090856,4.12935854090457,197.991182141313,5.73075350840199e-45,2.15850741145131e-41
"BnaCnng40660D",8.49459017598065,4.19014363967538,197.644694945359,6.82067033785138e-45,2.40846395467454e-41
"BnaC06g25080D",8.35580128970113,5.23562108771106,196.923020320572,9.80219174854584e-45,3.25767193770202e-41
"BnaA01g05240D",10.77394922809,3.86158176470183,194.84371263427,2.78689887840566e-44,8.74745626845348e-41
"BnaA03g07990D",-10.0568469064031,5.31930629677369,194.369032815933,3.53769979430432e-44,1.05196296304529e-40
"BnaC02g02460D",-8.28704026922616,4.05885155106609,193.363832791978,5.86289309494051e-44,1.65620867038974e-40
"BnaC02g05940D",-8.00777756760367,5.12326941789654,190.867175768759,2.05611554404655e-43,5.53173409559724e-40
"BnaCnng02680D",8.9384041650708,3.82123507396093,189.995671398827,3.18622090608655e-43,8.18250494327626e-40
"BnaC09g02950D",7.6912530024952,5.3303322736029,188.861200979268,5.635209968459e-43,1.38425257738259e-39
"BnaC07g15150D",-8.1097683249084,4.49906429813563,188.715402755389,6.06367271994381e-43,1.42743908888077e-39
"BnaA03g30740D",-9.33395368153069,5.18579335098896,188.523389004854,6.678051742775e-43,1.50918626945321e-39
"BnaAnng11350D",8.71189245139401,3.52418321430905,185.246152653658,3.46785497161924e-42,7.53564885332861e-39
"BnaA06g14090D",-7.82643455714251,3.70242468001234,182.140721821636,1.6520713908289e-41,3.45698997922413e-38
"BnaC09g39300D",6.57707574840178,4.97301011396907,181.409679765272,2.38581365501626e-41,4.81406071003959e-38
"BnaC01g22800D",7.930697503169,3.44889968284956,181.063029671295,2.84002070587758e-41,5.53294792554039e-38
"BnaA09g35140D",-8.46165654538749,3.31883754561663,180.559406976127,3.6583066321746e-41,6.88956693682002e-38
"BnaA10g23520D",-10.5184889954818,3.53097916139801,180.086550583385,4.6400518995054e-41,8.45656942639536e-38
"BnaC02g08560D",-8.38058144301501,3.26174858171922,178.604633762593,9.7744379163046e-41,1.72573810436055e-37
"BnaCnng19170D",-7.74823032360541,4.35395401700449,177.867277030374,1.41610447969229e-40,2.42445669374711e-37
"BnaA09g52360D",-7.01954329315292,4.11927253797259,176.886602037483,2.31864122788915e-40,3.85289976744944e-37
"BnaC01g38650D",7.70113724688604,3.34075039795473,176.338191319651,3.05482459565207e-40,4.9311851430043e-37
"BnaC09g01740D",6.26958344336546,3.62845933486373,175.693570650049,4.2242571236894e-40,6.62950219372788e-37
"BnaC03g30260D",8.2574415443581,4.79964400394008,172.50920533798,2.09485473611021e-39,3.19878656434473e-36
"BnaA09g01540D",7.64112800105223,3.46377487254012,172.358199451622,2.26012491734876e-39,3.36032993632553e-36
"BnaCnng19160D",-8.09993366238195,3.90687607018299,172.096780844218,2.57765418593075e-39,3.73416169735167e-36
"BnaC09g03380D",10.6705056495783,4.17954480068442,171.059246753303,4.34330707312265e-39,6.13470407543209e-36
"BnaA03g43580D",-10.8258463908346,3.63066738167683,170.861233942278,4.79807596303721e-39,6.61174867706528e-36
"BnaC09g00080D",-5.94901177323147,5.08002862441012,169.669024478971,8.73886932670886e-39,1.17554437909618e-35
"BnaA06g09750D",8.448415389831,3.33162883485919,168.97089057611,1.24147550395364e-38,1.6311833261017e-35
"BnaA09g01380D",7.1992585550577,3.41936156175522,168.861521476448,1.31167527749341e-38,1.68425067790505e-35
"BnaA08g09570D",6.44238580074355,3.26509186261159,168.550273723603,1.53394195962723e-38,1.92588117411154e-35
"BnaCnng33800D",7.33929839880672,3.72113216586698,168.109412221077,1.91470970103516e-38,2.35167975411054e-35
"BnaA09g00910D",10.7128694790384,3.75689169148199,167.614993796383,2.45525562019409e-38,2.95142621339842e-35
"BnaC03g00020D",8.30847498844346,6.37674945560381,167.112262000399,3.16160957705716e-38,3.72134620592865e-35
"BnaA06g03330D",7.35848415067961,3.49619161250827,166.714997649144,3.86085867578185e-38,4.45164884621067e-35
"BnaC06g20990D",-8.53593492388334,3.22348362155062,166.490798013418,4.32172419901675e-38,4.88337547592097e-35
"BnaCnng03040D",6.13479943163153,4.37097391449502,165.667414942043,6.53907606150454e-38,7.24401410437026e-35
"BnaA06g00040D",-6.81769029247521,5.00415571990029,165.596251341896,6.77737586320402e-38,7.36361887537117e-35
"BnaC04g17070D",-6.24627873140504,4.34191867846392,165.40279418581,7.47000874653219e-38,7.96302932380331e-35
"BnaC03g28370D",8.39037286167173,3.13685923914197,163.739811239433,1.72425564245173e-37,1.80401843124515e-34
"BnaA02g08060D",6.91382628254423,3.72712616737659,163.466508711492,1.97836759627034e-37,2.00645908137979e-34
"BnaC02g05360D",-7.43617406454484,5.84808995861294,163.456079932249,1.98877320537485e-37,2.00645908137979e-34
"BnaC09g00050D",-8.26481776436562,4.00986048435376,163.192072188097,2.27122757367266e-37,2.25122483258523e-34
"BnaCnng11360D",7.95754700726748,4.40724823420944,162.835398835219,2.71757003968658e-37,2.64719434658987e-34
"BnaC03g00170D",5.59276025923322,4.89931284402635,162.793930643703,2.7748537372183e-37,2.65718112619254e-34
"BnaC02g25110D",6.0665958539444,3.77972287346031,162.358527607908,3.45430970846499e-37,3.25269316514758e-34
"BnaCnng05240D",-8.71653893741052,3.49531032062823,162.258965981618,3.6317204604449e-37,3.36368758318386e-34
"BnaA05g11340D",-7.26003302362235,3.48549818624786,161.799478013506,4.57611968545756e-37,4.17002596756421e-34
"BnaC03g01640D",6.63378612498308,3.51301157926638,161.066506832146,6.61658855779703e-37,5.9337146085463e-34
"BnaC08g45610D",-10.5245754596237,3.84037674638102,160.530717770571,8.66351357938484e-37,7.64798734700132e-34
"BnaC02g47920D",9.05898426448977,5.32753817250228,160.481485447027,8.88076799306464e-37,7.71916353957178e-34
"BnaC09g00040D",-6.93056877591001,3.56255745655181,159.557007961853,1.41396146707986e-36,1.19548846446334e-33
"BnaC02g42580D",-7.11567449277502,4.45642135226802,159.55174669022,1.41770907145463e-36,1.19548846446334e-33
"BnaC08g44700D",-5.32728905488813,4.55278590721645,158.966628530388,1.90297022840133e-36,1.58108841123851e-33
"BnaC03g07200D",8.26624796150388,5.20961438421939,158.715446609048,2.15930825761415e-36,1.76806663679252e-33
"BnaA02g27900D",7.1660545313273,3.50626231202189,158.544381697273,2.35338090430283e-36,1.89944734759002e-33
"BnaAnng29400D",7.52979822266901,3.19699429261718,158.147415201259,2.87362514722988e-36,2.28667709250977e-33
"BnaC03g05220D",9.88197487912214,2.65067895937306,158.089406481828,2.95872932557211e-36,2.32169846439129e-33
"BnaCnng45410D",9.85762420665282,2.47040163079978,157.592486345049,3.79914005143787e-36,2.9403262277553e-33
"BnaC02g05310D",-10.1524630611371,2.9241653734506,157.551176042785,3.87893007091872e-36,2.96151069117251e-33
"BnaC02g02570D",-8.64701894730324,3.24330598460058,157.219898086055,4.5824684339994e-36,3.45200402112131e-33
"BnaA09g00880D",7.8586802123497,4.21357492568925,157.163981141382,4.71322295145427e-36,3.50378513567452e-33
"BnaC02g17030D",8.17776149824054,3.09766948019316,156.48019995473,6.6486625223574e-36,4.87839136607985e-33
"BnaCnng10240D",6.49430172822941,3.64959078875141,156.296726386043,7.29166428797262e-36,5.28159549925483e-33
"BnaC08g07080D",10.0421576716617,2.73082817470919,156.03374312624,8.32326825659998e-36,5.95250645520741e-33
"BnaCnng03720D",6.33344831293372,4.45774927657623,155.55837321303,1.05723974046754e-35,7.46649135711686e-33
"BnaC03g03130D",8.00656618335763,3.61169144779856,155.511030591798,1.08272726143017e-35,7.55208948349154e-33
"BnaCnng03200D",6.09842901185447,4.16768575790292,155.454948827076,1.11371589868366e-35,7.6735025419304e-33
"BnaA09g01200D",5.8976869958408,4.5129726181343,155.11665366567,1.32038760080919e-35,8.9878624904238e-33
"BnaC08g00310D",10.0613404009325,3.44841941501012,155.080152242946,1.34486312622721e-35,9.04548534590294e-33
"BnaA09g01080D",6.93471461832906,6.17256145183871,154.685223827012,1.64052354160932e-35,1.09042704769227e-32
"BnaC04g13920D",6.38539701788379,3.529395826039,154.332551677951,1.95908680799556e-35,1.28702891253643e-32
"BnaCnng19150D",-6.83219836246119,3.52299165054398,153.291877445306,3.30737854053735e-35,2.14781922739402e-32
"BnaC04g17080D",7.14587716912859,3.77091441969327,152.880495493313,4.06808955560729e-35,2.61180595128069e-32
"BnaC06g18110D",10.0258883207862,3.15310010366269,152.84800165081,4.13515722211159e-35,2.625034974549e-32
"BnaCnng03080D",9.79887078866741,2.84541250203324,152.771756691822,4.29690133362668e-35,2.69740368385822e-32
"BnaA05g16860D",-8.78605044142696,3.85763892526926,152.087901548674,6.06197944125618e-35,3.76362323595705e-32
"BnaC03g03000D",4.89100329492854,5.28391708834199,151.035904243319,1.02929708261299e-34,6.32100288842054e-32
"BnaC02g05020D",-8.33831742182867,4.59091609233366,150.915709504595,1.09348128652079e-34,6.64295760493025e-32
"BnaC04g35900D",9.89794880156396,2.78994498185788,150.147633171025,1.60949909462485e-34,9.67377445192708e-32
"BnaC03g03400D",5.59062266328852,4.33304416533478,150.029302203095,1.70826393344638e-34,1.01593153380899e-31
"BnaC02g48850D",-5.5617791350228,4.59936283695724,149.926542785942,1.79893617880744e-34,1.05871141906524e-31
"BnaA09g00950D",6.5511885764359,3.50096701445231,149.738310461153,1.97769428949845e-34,1.15191517492869e-31
"BnaA09g01010D",8.57935694512468,3.43049044497065,149.561058988398,2.16223403150718e-34,1.24654998277646e-31
"BnaA09g52350D",-9.81244403671253,2.45947811773844,148.937119104545,2.95995792509769e-34,1.68920911971888e-31
"BnaCnng10200D",5.71338476783268,4.60850976948381,147.98018923289,4.7913914486133e-34,2.70704034063754e-31
"BnaUnng02770D",-5.722677157364,3.30179757859087,147.906712666532,4.97191073694781e-34,2.78121794867403e-31
"BnaC02g00100D",-5.55585329518346,4.10992296293084,147.647269934357,5.66548162094973e-34,3.13812137863155e-31
"BnaC04g13900D",8.01936562965433,2.99271199055896,147.503258774044,6.09140653619743e-34,3.3412843347775e-31
"BnaA07g30390D",10.9357862482739,3.92314490234371,146.53249321954,9.92959673396982e-34,5.3942534257291e-31
"BnaC02g02700D",-9.85085449048974,3.01239107314394,146.445908345082,1.0371938447727e-33,5.5779134780792e-31
"BnaA10g27720D",-9.81963974813378,2.63223881017777,146.428138689546,1.04651284766964e-33,5.5779134780792e-31
"BnaA06g03320D",7.80305383000398,2.44032920060359,146.371317908226,1.07687725878544e-33,5.68611321185607e-31
"BnaA06g10170D",-7.03855519107447,4.18481716352002,145.993972971865,1.3021431374032e-33,6.811896571945e-31
"BnaC04g00920D",-7.19550400348882,6.66103260672716,145.934862951465,1.34147034066414e-33,6.95324690888465e-31
"BnaA06g02870D",9.82270530649824,2.71307630958639,145.753987846418,1.46934350281673e-33,7.54681538383087e-31
"BnaC09g24280D",6.75107633381153,3.99629653984032,145.626715681873,1.56656100850331e-33,7.97365440165945e-31
"BnaC03g15890D",6.93768315798071,2.94607127560647,144.651118191051,2.55997540088928e-33,1.29034295658668e-30
"BnaC09g00010D",-10.6535069961762,3.7593998174191,144.635041907602,2.5807772681209e-33,1.29034295658668e-30
"BnaCnng19090D",-6.54742354015899,7.78094432237013,144.317616320221,3.02795431087749e-33,1.50064353206979e-30
"BnaA09g00790D",6.39499418062185,4.76496764589194,144.24568472312,3.13961122530193e-33,1.53914654823154e-30
"BnaUnng01760D",6.73763834886705,3.36876554227505,144.232745136482,3.1601295549375e-33,1.53914654823154e-30
"BnaC02g05210D",-8.76915488528613,3.4265658128891,144.154985598877,3.28628850135783e-33,1.58691220298902e-30
"BnaA09g00800D",6.43351977870628,3.73569232697621,144.050963714895,3.46296735992993e-33,1.65805703306204e-30
"BnaA10g27160D",-9.709928356796,2.68137213547353,143.75526455182,4.01882286126558e-33,1.90802902534271e-30
"BnaA01g07750D",-4.97888709010982,5.7600812134034,143.322002009193,4.99835670380211e-33,2.3533096420951e-30
"BnaC08g44590D",-6.23165426641883,3.47048432245588,143.209365210451,5.28998493286631e-33,2.47002949369488e-30
"BnaC08g43810D",-6.11449858601998,3.10482836426234,143.162527228911,5.41620689873599e-33,2.50823653577694e-30
"BnaC09g00170D",-5.02653945516062,5.67594673181855,143.093324268569,5.6082330340606e-33,2.57604837364517e-30
"BnaCnng62780D",5.72355011280947,3.41336891247819,142.791225941087,6.52947987257753e-33,2.97502059549101e-30
"BnaC09g03500D",5.74718600072005,3.23754458177584,142.300541728001,8.35923736178544e-33,3.77824153972923e-30
"BnaCnng29150D",-6.73944948368891,3.36320168043222,142.161715601616,8.96440430862406e-33,4.01961043356065e-30
"BnaC02g01020D",-6.49516644539281,4.01822777300882,141.743125634822,1.10674787770451e-32,4.92354658224797e-30
"BnaC01g18730D",6.63839705297219,5.00477545557146,140.823684400467,1.75831485413644e-32,7.76103692414067e-30
"BnaC02g28840D",-7.41245551480421,3.06536917598129,140.749042645776,1.82565387135926e-32,7.94624329530364e-30
"BnaC03g08930D",9.39946426349193,2.2101477249007,140.733113986499,1.84035474588059e-32,7.94624329530364e-30
"BnaC09g02820D",4.6818883992719,4.5366173324996,140.730834130614,1.84246853284148e-32,7.94624329530364e-30
"BnaC02g06320D",-6.97359912441704,3.76124667838873,140.558636089694,2.00934550513803e-32,8.60030320827943e-30
"BnaA09g38100D",-10.4872100293704,3.30057339658336,140.522767810484,2.04596394038627e-32,8.69119328601081e-30
"BnaC02g03460D",-10.41695954996,3.34862434212568,140.247820599955,2.34974880066927e-32,9.90717221941883e-30
"BnaCnng03150D",7.61882764002649,3.17405199521216,139.83176802183,2.89735920713564e-32,1.21255555914629e-29
"BnaAnng00510D",-9.80131492206277,2.7779834405657,139.676091827743,3.13361429973102e-32,1.30178632872208e-29
"BnaCnng03760D",7.58855965772552,4.63137951802375,139.438719208389,3.53146236096025e-32,1.45635445598199e-29
"BnaA09g00900D",6.81110749568613,5.05592033328852,139.149243363801,4.0856247180332e-32,1.67267844434377e-29
"BnaCnng10510D",7.67514304326893,2.6307493773277,138.837784494871,4.77937085958727e-32,1.94262514262562e-29
"BnaC02g40770D",10.2372944122595,3.08299397026207,138.301904637959,6.25984551729388e-32,2.52620537168621e-29
"BnaC04g50590D",-8.27528784838612,6.5452780940248,137.804877320446,8.04012084259178e-32,3.22163650613298e-29
"BnaCnng03280D",6.64665185566543,3.49779536889781,137.743762652806,8.29141076227998e-32,3.29893045948799e-29
