"","logFC","logCPM","LR","PValue","FDR"
"BnaA08g16140D",-10.2016414465658,4.4506096878307,256.688257953406,9.04511966699343e-58,5.11031170945795e-53
"BnaC04g06880D",9.77622418069308,5.88599263168009,252.851707491817,6.20519649482805e-57,1.75290595782398e-52
"BnaA09g52360D",-11.5128501954819,4.11927253797259,241.118799389312,2.24264037308059e-54,4.22348985994357e-50
"BnaCnng41150D",9.9473181762536,4.41649990137767,237.273890154721,1.54572785820911e-53,2.18326331332746e-49
"BnaC02g05610D",-8.52422620025254,5.15347149930247,235.966964684849,2.97932401004153e-53,3.36651695838652e-49
"BnaC04g17070D",-11.5144943708381,4.34191867846392,232.138043365298,2.03741806111955e-52,1.91850076028554e-48
"BnaC09g00170D",-8.82799610690675,5.67594673181855,223.776133938794,1.35751165493419e-50,1.09566704972103e-46
"BnaC02g07710D",-8.37004443030121,4.11433698136874,223.418472824444,1.62462448886621e-50,1.14735042964954e-46
"BnaC03g00170D",7.36930968320059,4.89931284402635,220.857964506964,5.8781582477191e-50,3.69004649644037e-46
"BnaA10g27420D",-11.4360692613282,4.18893817027893,219.292462851164,1.29037692965724e-49,7.29037157717746e-46
"BnaC02g00100D",-11.1765749486329,4.10992296293084,215.971448607877,6.84147233836024e-49,3.51390458338797e-45
"BnaCnng40660D",8.81682053814241,4.19014363967538,215.433529362651,8.96383532098542e-49,4.22032306637529e-45
"BnaA06g00040D",-10.3071388850617,5.00415571990029,215.213822463274,1.00097255990873e-48,4.35022674536336e-45
"BnaCnng03720D",7.38313576517131,4.45774927657623,213.738910072279,2.09978583999147e-48,8.47383574198843e-45
"BnaC06g15630D",8.35859832995969,4.75781961365063,213.409920314363,2.47711205536769e-48,9.33012512694424e-45
"BnaC04g17130D",-8.91452243976908,5.30716364089234,212.639268652904,3.64811813808874e-48,1.28819611603586e-44
"BnaCnng19170D",-11.520502174318,4.35395401700449,212.319300449863,4.28423313689247e-48,1.41050617813437e-44
"BnaA10g23520D",-10.9212893833402,3.53097916139801,212.22422686883,4.49380707395283e-48,1.41050617813437e-44
"BnaC09g00020D",-9.0322621577975,5.57678647891743,209.871810466755,1.46498496612523e-47,4.35624845348123e-44
"BnaA10g27200D",-7.92674557955614,4.59801588725066,208.625851218549,2.73949619452676e-47,7.73880279991864e-44
"BnaC04g54830D",-8.42654011540166,3.82125389853988,207.853470315638,4.03821044991196e-47,1.08643244761488e-43
"BnaC04g17080D",8.61217804449045,3.77091441969327,207.393246202212,5.08864496534402e-47,1.30681028750912e-43
"BnaC02g05360D",-8.82391543766229,5.84808995861294,205.856576703851,1.10124857179445e-46,2.70514529605404e-43
"BnaCnng03040D",8.71451259327483,4.37097391449502,205.660509930132,1.21525011852434e-46,2.86080004984951e-43
"BnaA09g00980D",7.74444996449781,5.10476692898516,205.316004038866,1.44488994350818e-46,3.265335681133e-43
"BnaA03g07990D",-8.98854300609948,5.31930629677369,205.147549714652,1.57250016107452e-46,3.41704285001494e-43
"BnaA09g54870D",-9.9775320695019,7.92483040783333,203.405413096991,3.77333243862336e-46,7.89576800434602e-43
"BnaC06g25080D",8.48421941906181,5.23562108771106,203.074387315503,4.45611801299675e-46,8.99149126779608e-43
"BnaC08g44890D",-7.7892129748433,4.67924321669784,202.706917254341,5.35971010707183e-46,1.04418241941153e-42
"BnaA09g00950D",10.8571846579099,3.50096701445231,202.135409361064,7.14249318806912e-46,1.34512193379843e-42
"BnaA09g01540D",8.80753331727642,3.46377487254012,201.58744043432,9.40640207374991e-46,1.71433194955717e-42
