Sample_ID,TotalReads,HQ.reads,HQ_percent,Number_Input_Reads,Average_Mapped_Length,Number_Unique_Mapped,Percent_Unique_Mapped,Number_Multi_Mapped,Percent_Multi_Mapped,Number_Too_Many_Multi_Mapped,Percent_Too_Many_Multi_Mapped,Percent_Unmapped_Mismatches,Percent_Unmapped_Too_Short,Percent_Unmapped_Other,Number_Chimeric_Reads,Percent_Chimeric_Reads,Batch
138-1,27319220,23949962,0.88,23949962,188.34,13689669,57.16,2982562,12.45,2616116,10.92,0,19.35,0.11,0,0,1
138-10,25484084,23676836,0.93,23676836,190.66,13405667,56.62,3895886,16.45,2763561,11.67,0,15.24,0.01,0,0,1
138-100,26252451,24026533,0.92,24026533,190.39,14003867,58.29,3429262,14.27,2689143,11.19,0,16.24,0.01,0,0,1
138-101,25661664,23569835,0.92,23569835,191.16,13003891,55.17,3693563,15.67,3680357,15.61,0,13.52,0.03,0,0,1
138-102,25588346,22279153,0.87,22279153,189.1,12534097,56.26,3447270,15.47,2182350,9.8,0,18.45,0.02,0,0,1
138-103,27173022,22199915,0.82,22199915,186.17,8848348,39.86,5829777,26.26,3850339,17.34,0,16.5,0.04,0,0,2
138-104,28339349,23427919,0.83,23427919,185.81,7902997,33.73,6777075,28.93,4004966,17.09,0,20.24,0.01,0,0,2
138-105,26754282,23845244,0.89,23845244,190.56,7498200,31.45,8215027,34.45,5880390,24.66,0,9.43,0.01,0,0,2
138-106,26813119,23622651,0.88,23622651,189.33,7200688,30.48,8628715,36.53,5197088,22,0,10.98,0.01,0,0,2
138-109,29298929,23435948,0.8,23435948,185.48,8335257,35.57,6469538,27.61,4139763,17.66,0,19.16,0.01,0,0,2
138-111,30179833,25611316,0.85,25611316,188.96,9661589,37.72,7149455,27.92,5184269,20.24,0,14.11,0.01,0,0,2
138-112,26806091,23522641,0.88,23522641,187.55,8350834,35.5,7058056,30.01,4331029,18.41,0,16.07,0.01,0,0,2
138-113,28752690,24995289,0.87,24995289,187.02,7663528,30.66,8191680,32.77,5125545,20.51,0,16.06,0,0,0,2
138-114,28404201,24830355,0.87,24830355,188.81,7276062,29.3,9126526,36.76,5208517,20.98,0,12.95,0.01,0,0,2
138-116,25668549,22905045,0.89,22905045,189.09,9092361,39.7,6606656,28.84,4241587,18.52,0,12.93,0.01,0,0,2
138-117,30183938,26857097,0.89,26857097,188.94,8808924,32.8,9404384,35.02,5341192,19.89,0,12.29,0.01,0,0,2
138-118,26712900,23685549,0.89,23685549,188.86,8202614,34.63,7292614,30.79,5040160,21.28,0,13.29,0.01,0,0,2
138-119,25936901,22649364,0.87,22649364,187.22,7292461,32.2,7402314,32.68,4275382,18.88,0,16.23,0.01,0,0,2
138-12,25943442,23048918,0.89,23048918,187.54,13898148,60.3,2715977,11.78,1345866,5.84,0,22.05,0.03,0,0,1
138-120,29927737,26402359,0.88,26402359,187.62,7205361,27.29,10689938,40.49,5098169,19.31,0,12.91,0,0,0,2
138-121,30574317,26597627,0.87,26597627,187.47,9197572,34.58,7810192,29.36,5410588,20.34,0,15.71,0.01,0,0,2
138-122,28087889,25230148,0.9,25230148,190.08,10718507,42.48,6699296,26.55,4808047,19.06,0,11.9,0.01,0,0,2
138-123,25471001,22599798,0.89,22599798,188.63,6894087,30.51,8713300,38.55,4130653,18.28,0,12.66,0.01,0,0,2
138-124,33238067,27866232,0.84,27866232,186.12,7718196,27.7,9919253,35.6,5590055,20.06,0,16.64,0,0,0,2
138-126,29197863,25201942,0.86,25201942,188.83,6854351,27.2,9324263,37,5990221,23.77,0,12.03,0,0,0,2
138-127,24111509,21626487,0.9,21626487,189.01,6965088,32.21,7615000,35.21,4349089,20.11,0,12.47,0.01,0,0,2
138-128,30404502,25628320,0.84,25628320,187.41,9083809,35.44,7286841,28.43,4932080,19.24,0,16.87,0.01,0,0,2
138-129,30362658,26000288,0.86,26000288,187.01,9463702,36.4,7164569,27.56,5003979,19.25,0,16.79,0.01,0,0,2
138-13,25571794,21111548,0.83,21111548,190.13,13250145,62.76,2404019,11.39,1479592,7.01,0,18.82,0.02,0,0,1
138-130,31209064,27023772,0.87,27023772,187.6,8659942,32.05,8473305,31.36,5733932,21.22,0,15.35,0.03,0,0,2
138-132,24976922,21773561,0.87,21773561,187.54,7578226,34.8,6495742,29.83,4338027,19.92,0,15.43,0.01,0,0,2
138-133,28519608,24935450,0.87,24935450,187.03,9068275,36.37,6775242,27.17,5191555,20.82,0,15.63,0.01,0,0,2
138-134,28875855,26005292,0.9,26005292,189.19,9325956,35.86,7890606,30.34,5579220,21.45,0,12.32,0.03,0,0,2
138-135,32458068,28288182,0.87,28288182,189.17,11091592,39.21,8064126,28.51,5427292,19.19,0,13.09,0.01,0,0,2
138-136,23704673,20844851,0.88,20844851,188.94,6292009,30.18,7527856,36.11,4538422,21.77,0,11.92,0.01,0,0,2
138-137,28627599,24791307,0.87,24791307,189.23,10095321,40.72,6248610,25.2,4990067,20.13,0,13.93,0.02,0,0,2
138-138,25504022,22157220,0.87,22157220,187.46,7900784,35.66,6332663,28.58,4583126,20.68,0,15.06,0.01,0,0,2
138-139,22901051,19583930,0.86,19583930,188.83,8046443,41.09,5536692,28.27,3228181,16.48,0,14.14,0.01,0,0,2
138-143,21061312,18326994,0.87,18326994,187.83,5508823,30.06,6520866,35.58,3788606,20.67,0,13.68,0.01,0,0,2
138-147,15092756,13280336,0.88,13280336,188.96,4844372,36.48,3782060,28.48,2970079,22.36,0,12.55,0.13,0,0,2
138-15,26810833,23915956,0.89,23915956,190.75,15443452,64.57,2900837,12.13,1380580,5.77,0,17.51,0.01,0,0,1
138-156,27671779,23927998,0.86,23927998,186.74,8120362,33.94,7250675,30.3,4964567,20.75,0,15,0.01,0,0,2
138-157,28337036,23470826,0.83,23470826,185.72,7671784,32.69,7041952,30,4363071,18.59,0,18.71,0.01,0,0,2
138-16,25841576,22741523,0.88,22741523,190.39,14525532,63.87,2648287,11.65,1585008,6.97,0,17.5,0.02,0,0,1
138-17,25722779,22476363,0.87,22476363,191.47,14167154,63.03,2824252,12.57,1895867,8.43,0,15.95,0.02,0,0,1
138-171,29978573,25280153,0.84,25280153,186.26,8354238,33.05,8015907,31.71,4485538,17.74,0,17.49,0.01,0,0,2
138-175,33837722,28502185,0.84,28502185,186.38,11513918,40.4,6889056,24.17,4638211,16.27,0,19.15,0.01,0,0,2
138-176,31220937,26081326,0.84,26081326,186.25,8024788,30.77,8908881,34.16,4661247,17.87,0,17.19,0.01,0,0,2
138-177,30819059,25244741,0.82,25244741,185.49,6565657,26.01,9864608,39.08,4495733,17.81,0,17.1,0.01,0,0,2
138-18,25673808,23727269,0.92,23727269,189.76,13776881,58.06,3343456,14.09,2425613,10.22,0,17.6,0.02,0,0,1
138-180,30987419,26106507,0.84,26106507,186.24,7410950,28.39,9410780,36.05,5304572,20.32,0,15.24,0.01,0,0,2
138-19,26559405,23712135,0.89,23712135,190.88,14314215,60.37,2900152,12.23,2781046,11.73,0,15.61,0.07,0,0,1
138-2,26299719,23962586,0.91,23962586,190.08,14333378,59.82,3410960,14.23,2162671,9.03,0,16.91,0.02,0,0,1
138-20,26481170,24334008,0.92,24334008,191.73,14766598,60.68,3405297,13.99,2835603,11.65,0,13.61,0.06,0,0,1
138-21,25991630,23630545,0.91,23630545,190.58,12787108,54.11,3473901,14.7,3845415,16.27,0,14.89,0.02,0,0,1
138-23,27146250,24758754,0.91,24758754,189.73,13109022,52.95,4440304,17.93,3181364,12.85,0,16.26,0.01,0,0,1
138-24,26462489,24211060,0.91,24211060,191.34,14656654,60.54,3183020,13.15,2782735,11.49,0,14.79,0.03,0,0,1
138-25,25442249,23101662,0.91,23101662,191.16,13322676,57.67,3002404,13,3240731,14.03,0,15.19,0.11,0,0,1
138-26,27454907,25265814,0.92,25265814,191.43,15520861,61.43,3663881,14.5,2494450,9.87,0,14.18,0.02,0,0,1
138-27,26730770,24576943,0.92,24576943,191.03,14219927,57.86,3761330,15.3,2890294,11.76,0,15.05,0.02,0,0,1
138-28,26861199,24685143,0.92,24685143,190.96,14512809,58.79,3402195,13.78,2913179,11.8,0,15.6,0.02,0,0,1
138-29,26092750,23645513,0.91,23645513,189.32,13327714,56.36,3382219,14.3,2797026,11.83,0,17.45,0.05,0,0,1
138-3,26222769,23482489,0.9,23482489,189.94,12989595,55.32,3644954,15.52,2748534,11.7,0,17.45,0.01,0,0,1
138-30,29128589,25004703,0.86,25004703,189.2,14783816,59.12,2889545,11.56,2472618,9.89,0,19.33,0.1,0,0,1
138-34,24802024,23015563,0.93,23015563,192.33,12863988,55.89,3690185,16.03,3745930,16.28,0,11.77,0.02,0,0,1
138-35,25269038,22880349,0.91,22880349,190.15,14483638,63.3,2510822,10.97,1625066,7.1,0,18.57,0.06,0,0,1
138-36,28578971,25286885,0.88,25286885,190.23,15521645,61.38,3270017,12.93,2070916,8.19,0,17.47,0.03,0,0,1
138-37,25663791,23227786,0.91,23227786,188.25,13724518,59.09,2924366,12.59,1885536,8.12,0,20.18,0.03,0,0,1
138-38,26190720,23818029,0.91,23818029,190.16,14428849,60.58,2872328,12.06,2377999,9.98,0,17.35,0.03,0,0,1
138-39,25314322,23741427,0.94,23741427,191.98,14163925,59.66,3600086,15.16,3029469,12.76,0,12.38,0.04,0,0,1
138-4,25940426,23388355,0.9,23388355,189.13,13804000,59.02,2968205,12.69,2197697,9.4,0,18.86,0.03,0,0,1
138-41,26442370,23419602,0.89,23419602,188.47,14586050,62.28,2483587,10.6,1317791,5.63,0,21.45,0.03,0,0,1
138-42,25255972,23039116,0.91,23039116,190.77,13551008,58.82,3267663,14.18,2607415,11.32,0,15.65,0.03,0,0,1
138-45,25048154,23115368,0.92,23115368,189.97,15018719,64.97,2774162,12,1116923,4.83,0,18.17,0.03,0,0,1
138-47,26317689,24456680,0.93,24456680,191.79,13869350,56.71,3920151,16.03,3389404,13.86,0,13.38,0.02,0,0,1
