"","logFC","logCPM","LR","PValue","FDR"
"BnaA02g25430D",13.095200162463,5.54068437520437,286.374581617771,3.06562508551461e-64,1.73201686081405e-59
"BnaC09g00170D",-9.1335130379422,5.67594673181855,262.243001045828,5.56677148944323e-59,1.57255727805282e-54
"BnaC02g05610D",-10.3586384232527,5.15347149930247,249.395382950589,3.51764715159799e-56,6.62466762569945e-52
"BnaC06g15630D",9.35540722380054,4.75781961365063,244.079395496995,5.07277671898331e-55,7.16504347672798e-51
"BnaC09g00080D",-8.67080229040391,5.08002862441012,236.62890495774,2.13685956710934e-53,2.41456583645088e-49
"BnaC04g06880D",9.34866318757938,5.88599263168009,234.355140589461,6.69263060957715e-53,6.30200406966483e-49
"BnaCnng19090D",-10.3912507985947,7.78094432237013,233.319785395219,1.12557589639762e-52,9.0846838563818e-49
"BnaA09g00980D",9.56624216596139,5.10476692898516,230.203564594251,5.38206112065431e-52,3.80094611493409e-48
"BnaA09g52360D",-11.270137212215,4.11927253797259,226.544204063545,3.38079148174546e-51,2.12231063484061e-47
"BnaC09g00020D",-10.0929635751838,5.57678647891743,226.067856795284,4.2944643003281e-51,2.42628644039937e-47
"BnaA08g16140D",-11.3460814795015,4.4506096878307,224.309697596986,1.03841048753133e-50,5.33346506586773e-47
"BnaC02g05940D",-10.5962444975751,5.12326941789654,223.910957276268,1.26863709020382e-50,5.7439993601309e-47
"BnaC02g00100D",-11.3556818264084,4.10992296293084,223.829405032652,1.32167495631176e-50,5.7439993601309e-47
"BnaC02g07710D",-11.2152130841708,4.11433698136874,223.675843311273,1.42763731277808e-50,5.76133234980971e-47
"BnaC09g03380D",9.26943757679744,4.17954480068442,219.632604117674,1.08773298570328e-49,4.0969825484176e-46
"BnaC04g17070D",-9.53027153362125,4.34191867846392,218.472202658946,1.94823039686414e-49,6.8794450601269e-46
"BnaC08g44700D",-7.486509973485,4.55278590721645,218.121734033873,2.32321343022858e-49,7.72099484594437e-46
"BnaCnng64520D",-8.81176124092285,3.99298308072,217.499072081459,3.17624231837787e-49,9.96951880576182e-46
"BnaCnng41150D",8.87863754425653,4.41649990137767,216.777608253424,4.56344167315388e-49,1.35697540868341e-45
"BnaCnng05840D",8.28538835867224,6.55734153364049,216.664337392838,4.83060391001804e-49,1.364597298541e-45
"BnaA06g00040D",-12.0044136369381,5.00415571990029,214.183557096728,1.67947669898649e-48,4.51843212092089e-45
"BnaC02g05360D",-10.2592981193246,5.84808995861294,213.936520300404,1.90136568928402e-48,4.88287994150765e-45
"BnaC04g17130D",-8.29444342166299,5.30716364089234,213.177356450014,2.78407448547063e-48,6.83889740348346e-45
"BnaC04g54830D",-10.9360499862862,3.82125389853988,211.807270399201,5.54087665215664e-48,1.30436853788977e-44
"BnaCnng19170D",-11.5267749261198,4.35395401700449,211.383334237471,6.85592553016679e-48,1.54938432241345e-44
"BnaC08g44890D",-7.799899362608,4.67924321669784,211.194965538531,7.53635999576356e-48,1.63765102707942e-44
"BnaA09g01540D",10.6711794009453,3.46377487254012,211.106104238311,7.88039816054148e-48,1.64898790842323e-44
"BnaA03g52350D",9.21444584887221,3.87957951628064,208.754426259462,2.56813856787419e-47,5.18195331456271e-44
"BnaC09g02950D",8.47788524708669,5.3303322736029,208.290179081894,3.24270444542513e-47,6.31745916405618e-44
"BnaC03g00170D",7.1282846717164,4.89931284402635,207.914254716097,3.91675933461837e-47,7.37630229624229e-44
"BnaC02g48850D",-7.95696965062155,4.59936283695724,207.550302109989,4.70256775531286e-47,8.57050558192471e-44
"BnaCnng03200D",9.42745601666467,4.16768575790292,207.291018234871,5.35681595979963e-47,9.45779337802373e-44
"BnaCnng40660D",8.65476189026274,4.19014363967538,207.13362992986,5.79757721685418e-47,9.92580356357052e-44
"BnaA10g27420D",-11.2055092495691,4.18893817027893,206.816953934565,6.79737083983891e-47,1.12952311090947e-43
"BnaCnng03040D",8.04775586786403,4.37097391449502,205.953380788636,1.04897103699058e-46,1.69327901851126e-43
"BnaA01g05240D",8.43780627131257,3.86158176470183,203.720246593419,3.22127069763571e-46,5.05542644097284e-43
"BnaC02g42580D",-11.6775140826328,4.45642135226802,203.464590896101,3.66279162946957e-46,5.59298382383167e-43
"BnaCnng10200D",7.908129054045,4.60850976948381,203.246220421221,4.08753703806374e-46,6.0773070414875e-43
"BnaCnng28710D",-9.37955661645166,4.84569028660477,202.962314566779,4.7142400335863e-46,6.82936239532202e-43
"BnaA03g07990D",-8.92883847961368,5.31930629677369,202.552118826977,5.79321494947496e-46,8.18262645538591e-43
"BnaAnng11350D",10.6632380672327,3.52418321430905,201.477928784682,9.93849319551862e-46,1.36952436234247e-42
"BnaA09g35140D",-10.503134835527,3.31883754561663,199.076742228395,3.32131206810929e-45,4.46779736247711e-42
"BnaCnng01150D",-8.67687749869745,3.4440023823797,198.60240757906,4.2152473889371e-45,5.53844295302717e-42
"BnaC02g06060D",-11.3868488056593,4.34209451417732,197.970669200358,5.79013026527719e-45,7.43479044835524e-42
"BnaC03g00020D",10.1519413315883,6.37674945560381,197.616800027552,6.91695118601924e-45,8.68430906906033e-42
"BnaA10g23520D",-10.6609086063587,3.53097916139801,196.893583784862,9.94826617812675e-45,1.18460727672376e-41
"BnaC08g44800D",-8.1125112920741,3.73251762731021,196.880635642517,1.00132068835849e-44,1.18460727672376e-41
"BnaA09g54870D",-9.74749014665928,7.92483040783333,196.870512029896,1.00642764846084e-44,1.18460727672376e-41
"BnaCnng33970D",-7.56341704575463,5.51101719795129,196.652266412836,1.12308457356806e-44,1.29493943341731e-41
"BnaC02g02440D",-8.0635062749209,6.01432763062034,196.583350627705,1.16265989146526e-44,1.31223249119455e-41
"BnaC01g38650D",8.70207457153775,3.34075039795473,196.546257696937,1.18453497559068e-44,1.31223249119455e-41
"BnaC02g02460D",-7.63181873601087,4.05885155106609,196.391715099399,1.2801931506247e-44,1.39092985815374e-41
"BnaC02g05000D",-9.18444514372176,3.95873394500439,195.633321311603,1.87408991416772e-44,1.99777984850279e-41
"BnaCnng10240D",8.97055066101218,3.64959078875141,195.583684794377,1.92142487460721e-44,2.01030856602885e-41
"BnaC08g44590D",-10.7310825250114,3.47048432245588,195.092089854411,2.45987431567517e-44,2.52687234703665e-41
"BnaC06g25080D",7.90007875107532,5.23562108771106,194.894145887052,2.7171532429605e-44,2.72581688024687e-41
"BnaC01g22800D",8.1597251671199,3.44889968284956,194.870208579481,2.75003649994817e-44,2.72581688024687e-41
"BnaA03g30740D",-9.07736902075674,5.18579335098896,194.343776889269,3.58288744736208e-44,3.4901030172597e-41
"BnaC08g04100D",-10.5642095238193,3.37613291993037,193.900516068041,4.47689475529956e-44,4.28704406584601e-41
"BnaA02g27900D",8.88813464052623,3.50626231202189,193.586212538638,5.24295045917502e-44,4.93693691737451e-41
"BnaA09g20730D",8.30129290286318,5.3579440090197,193.505728066866,5.45936491055311e-44,5.05644588059721e-41
"BnaA06g14090D",-8.72907489263166,3.70242468001234,193.400464573332,5.7559467339764e-44,5.24515288026127e-41
"BnaCnng19100D",-10.7586754448698,3.58223097651583,192.292783621931,1.00434120272201e-43,9.00686813831554e-41
"BnaC03g30260D",8.43442948133143,4.79964400394008,191.28167430972,1.66945243358611e-43,1.47376130613669e-40
"BnaA09g00890D",7.83679621697516,5.14273840698754,190.630690799742,2.31561330513487e-43,2.01273108482323e-40
"BnaA09g00950D",10.5844316240058,3.50096701445231,190.51824555847,2.45024788848168e-43,2.09748644247633e-40
"BnaCnng19130D",-9.57121007590852,5.13336316568406,190.370159830013,2.63957223869124e-43,2.22582913942653e-40
"BnaCnng02680D",7.83794117434261,3.82123507396093,190.241347648405,2.81611403283816e-43,2.33977662687192e-40
"BnaC07g15150D",-7.92024467464836,4.49906429813563,190.091072587262,3.0370496292428e-43,2.48677144859362e-40
"BnaA09g00790D",8.83868014974258,4.76496764589194,189.784652909167,3.54271973792358e-43,2.85937971076009e-40
"BnaCnng29070D",-7.91207394382627,3.93180746426635,189.104176162556,4.9873793735397e-43,3.96868957529924e-40
"BnaA06g03330D",8.83073585690304,3.49619161250827,188.815967786005,5.76479466523395e-43,4.52360234717205e-40
"BnaUnng02770D",-10.4267611121486,3.30179757859087,188.451350690229,6.9242834030585e-43,5.35901594117807e-40
"BnaC01g01660D",-7.53973087889972,4.51675993600183,188.120800284248,8.17579919033935e-43,6.24211219805125e-40
"BnaCnng19160D",-9.07235439281656,3.90687607018299,188.086683528807,8.31720779113033e-43,6.26540807711042e-40
"BnaC02g01020D",-9.2066986308264,4.01822777300882,187.976945230912,8.78885576731315e-43,6.53358912028498e-40
"BnaC09g02690D",6.15375791951643,5.38383915721103,187.797018474871,9.62074550558578e-43,7.05376545042819e-40
"BnaC02g05020D",-9.93674538136658,4.59091609233366,187.772858972871,9.7382864018797e-43,7.05376545042819e-40
"BnaC09g24280D",11.1927664690361,3.99629653984032,187.701569551299,1.00935617789792e-42,7.21855763783252e-40
