"100bp_paired" "50bp_paired" "100bp_single" "50bp_single"
"1" "BnaA02g25430D" "BnaA02g25430D" "BnaA02g25430D" "BnaC04g06880D"
"2" "BnaC06g15630D" "BnaC02g05610D" "BnaC09g00170D" "BnaC02g07710D"
"3" "BnaC02g05610D" "BnaC03g00020D" "BnaC02g05610D" "BnaC02g05610D"
"4" "BnaC04g06880D" "BnaC04g06880D" "BnaC03g00020D" "BnaCnng41150D"
"5" "BnaCnng41150D" "BnaA06g00040D" "BnaC04g06880D" "BnaCnng19090D"
"6" "BnaA09g20730D" "BnaC09g00080D" "BnaC06g15630D" "BnaC03g00020D"
"7" "BnaA09g00980D" "BnaCnng41150D" "BnaC02g05940D" "BnaC02g05360D"
"8" "BnaC02g05940D" "BnaC09g00170D" "BnaCnng19090D" "BnaA06g00040D"
"9" "BnaA09g54870D" "BnaC06g15630D" "BnaA09g00980D" "BnaA09g54870D"
"10" "BnaC03g00020D" "BnaCnng19090D" "BnaC08g44890D" "BnaC09g00170D"
"11" "BnaCnng64520D" "BnaC09g50570D" "BnaC09g00080D" "BnaA03g30740D"
"12" "BnaA03g07990D" "BnaA09g20730D" "BnaC02g00100D" "BnaA09g52360D"
"13" "BnaA03g30740D" "BnaC02g05360D" "BnaA06g00040D" "BnaA08g16140D"
"14" "BnaC06g25080D" "BnaA09g00980D" "BnaC09g00020D" "BnaC04g17070D"
"15" "BnaA03g52350D" "BnaC04g17130D" "BnaCnng41150D" "BnaC02g00100D"
"16" "BnaA06g00040D" "BnaC02g05940D" "BnaCnng05840D" "BnaA09g00980D"
"17" "BnaA01g05240D" "BnaA03g07990D" "BnaA03g07990D" "BnaA03g07990D"
"18" "BnaA08g16140D" "BnaC04g17070D" "BnaC02g07710D" "BnaC08g44890D"
"19" "BnaCnng40660D" "BnaC08g44890D" "BnaC02g05360D" "BnaC09g00020D"
"20" "BnaA06g12970D" "BnaA03g30740D" "BnaC09g03380D" "BnaC04g54830D"
"21" "BnaCnng33970D" "BnaC09g03380D" "BnaA09g52360D" "BnaCnng40660D"
"22" "BnaA09g52360D" "BnaC09g00020D" "BnaA09g54870D" "BnaC02g01020D"
"23" "BnaC02g02460D" "BnaC04g50590D" "BnaCnng03040D" "BnaC09g00080D"
"24" "BnaC09g39490D" "BnaC02g00100D" "BnaC08g44700D" "BnaCnng03200D"
"25" "BnaCnng02680D" "BnaA09g54870D" "BnaC04g17070D" "BnaC09g02690D"
"26" "BnaCnng33800D" "BnaA09g52360D" "BnaC02g48850D" "BnaC06g15630D"
"27" "BnaA06g14090D" "BnaC02g07710D" "BnaC03g00170D" "BnaCnng10200D"
"28" "BnaCnng10240D" "BnaCnng03200D" "BnaCnng10200D" "BnaCnng03040D"
"29" "BnaCnng19160D" "BnaA08g16140D" "BnaCnng64520D" "BnaCnng19170D"
"30" "BnaC06g28140D" "BnaC02g05000D" "BnaA03g30740D" "BnaC09g02950D"
"31" "BnaC03g30260D" "BnaCnng64520D" "BnaCnng03200D" "BnaCnng19160D"
"32" "BnaCnng19170D" "BnaCnng03040D" "BnaA03g52350D" "BnaC06g25080D"
"33" "BnaCnng03040D" "BnaA09g01540D" "BnaC04g54830D" "BnaC03g00170D"
"34" "BnaA10g27420D" "BnaCnng40660D" "BnaC02g01020D" "BnaA09g01080D"
"35" "BnaC02g05360D" "BnaA01g05240D" "BnaA08g16140D" "BnaC02g05020D"
"36" "BnaC04g00920D" "BnaCnng19160D" "BnaCnng19170D" "BnaA09g01570D"
"37" "BnaAnng11350D" "BnaA06g12970D" "BnaCnng28710D" "BnaCnng10240D"
"38" "BnaC09g02950D" "BnaC02g02460D" "BnaCnng40660D" "BnaA09g00950D"
"39" "BnaC04g17070D" "BnaC06g25080D" "BnaC04g17130D" "BnaC03g30260D"
