"","logFC","logCPM","LR","PValue","FDR"
"BnaA02g25430D",12.8841105408005,5.77443452407518,275.332755701411,7.81087350408292e-62,4.20998270996566e-57
"BnaC02g05610D",-11.8514979195986,5.15217991140829,250.300507202045,2.23319452573554e-56,6.01834758713101e-52
"BnaC03g00020D",10.4522857169363,6.66249569927853,240.221370826342,3.51914284218552e-54,6.32260933503192e-50
"BnaC04g06880D",9.46252060130734,5.81182518778197,238.563165345867,8.09102335553531e-54,1.09024516959999e-49
"BnaA06g00040D",-11.8962597502047,5.0405900757579,233.96443560829,8.14322908393942e-53,8.77823808790502e-49
"BnaC09g00080D",-9.27817492993596,5.21154569994249,232.011013224953,2.17161209945072e-52,1.95079534247157e-48
"BnaCnng41150D",11.0516286355461,4.35342367783175,231.295260167218,3.11079445998708e-52,2.39526729426919e-48
"BnaC09g00170D",-7.81763933547039,5.32188599190828,228.087158322678,1.55778987838135e-51,1.04954145818596e-47
"BnaC06g15630D",8.50808165661971,4.80885507354999,225.562657054828,5.53469029174801e-51,3.31460302261029e-47
"BnaCnng19090D",-10.1927336341883,7.80867031672399,224.794464517969,8.14026550365609e-51,4.3875217038156e-47
"BnaC09g50570D",7.79539237595188,5.00834443237071,224.504957002502,9.41416335123497e-51,4.61285445880194e-47
"BnaA09g20730D",9.94627359938722,5.42936832924108,224.070758483362,1.17080197871826e-50,5.25875465424465e-47
"BnaC02g05360D",-10.6032844886114,5.72439638519458,223.742246297142,1.3808127022211e-50,5.72495567977037e-47
"BnaA09g00980D",8.57336770758287,5.2960368480997,221.706320573974,3.83882177491806e-50,1.42346323114102e-46
"BnaC04g17130D",-10.3148712563233,5.27044504318266,221.643699219311,3.96147395445468e-50,1.42346323114102e-46
"BnaC02g05940D",-9.41590217882366,5.22803111168094,220.739195364585,6.23946618634449e-50,2.10188117486113e-46
"BnaA03g07990D",-9.51436293545655,5.33365315854854,220.203057748097,8.16754638279444e-50,2.58954460286022e-46
"BnaC04g17070D",-10.9973482642108,4.29903223445266,218.900077209972,1.57147498684491e-49,4.70560723977521e-46
"BnaC08g44890D",-8.80749524846374,4.74129376682208,218.455699817982,1.96444610327386e-49,5.57272002738726e-46
"BnaA03g30740D",-10.1222393988355,5.15091774720877,217.741533645888,2.81205627457036e-49,7.57835105715339e-46
"BnaC09g03380D",11.4786345999496,4.02867389864785,216.989741015268,4.1022109015113e-49,1.05288126371694e-45
"BnaC09g00020D",-9.73893609844436,5.60780808432256,216.487691262342,5.2787994336058e-49,1.29328186669054e-45
"BnaC04g50590D",-12.3703996931169,5.58947122639136,215.961978002011,6.87409496287735e-49,1.6108993234962e-45
"BnaC02g00100D",-9.24684190131825,4.34528596175727,214.835055047864,1.2107361240683e-48,2.71906109796488e-45
"BnaA09g54870D",-10.0681752970728,8.17285023288054,214.64909095805,1.32928291973374e-48,2.86588080362915e-45
"BnaA09g52360D",-10.7690771227831,4.07512878110226,214.259240432359,1.61682694546738e-48,3.35174444360563e-45
