"","logFC","logCPM","LR","PValue","FDR"
"BnaC04g06880D",9.44639053727153,5.81182518778197,235.885209115922,3.10416899026331e-53,1.67311604406202e-48
"BnaC02g07710D",-11.4964494997066,4.29982145049644,229.316632531168,8.40184329867757e-52,1.8058902784115e-47
"BnaC02g05610D",-9.17016419548253,5.15217991140829,228.959630985153,1.00515238413227e-51,1.8058902784115e-47
"BnaCnng41150D",11.3832354267783,4.35342367783175,226.511836719952,3.43619359289758e-51,4.63018496158967e-47
"BnaCnng19090D",-10.0244556028669,7.80867031672399,221.974461223796,3.35514886282532e-50,3.61678337114844e-46
"BnaC03g00020D",9.87497769342876,6.66249569927853,217.100231824951,3.88074997168876e-49,3.44521722659271e-45
"BnaC02g05360D",-9.85315544031223,5.72439638519458,216.816842546292,4.47439109930592e-49,3.44521722659271e-45
"BnaA06g00040D",-11.8532322965937,5.0405900757579,214.432725101025,1.4818958171955e-48,9.98408783137753e-45
"BnaA09g54870D",-9.99202035421122,8.17285023288054,213.786332469947,2.05035766988641e-48,1.22791364499119e-44
"BnaC09g00170D",-8.75401025937275,5.32188599190828,211.789840708474,5.58960342635488e-48,3.01274035077102e-44
"BnaA03g30740D",-11.9647827309496,5.15091774720877,210.143153587777,1.27830297650798e-47,6.26356837552762e-44
"BnaA09g52360D",-11.0729141621092,4.07512878110226,209.932288627883,1.42114541689353e-47,6.38319306876201e-44
"BnaA08g16140D",-11.144827785691,4.05515969669628,209.114911640706,2.14273713119235e-47,8.88395297185664e-44
"BnaC04g17070D",-11.1844969761223,4.29903223445266,208.512082298562,2.90063208929153e-47,1.1167226355766e-43
"BnaC02g00100D",-11.1587357960958,4.34528596175727,207.404030519826,5.06114968073995e-47,1.81860604428135e-43
"BnaA09g00980D",8.07131081055774,5.2960368480997,206.34224975329,8.62811524542477e-47,2.89361088308694e-43
"BnaA03g07990D",-9.25046272569035,5.33365315854854,206.230455381178,9.126585838787e-47,2.89361088308694e-43
"BnaC08g44890D",-9.27379504203808,4.74129376682208,203.531503013065,3.54169955117357e-46,1.06052257838169e-42
"BnaC09g00020D",-10.1374491241373,5.60780808432256,202.931873866405,4.78689678111124e-46,1.35794184002692e-42
"BnaC04g54830D",-10.8783740686131,3.93771500589954,201.337608677807,1.06644997458145e-45,2.87402935899828e-42
"BnaCnng40660D",8.46280332988638,4.34678080388712,198.015659952174,5.66069636055937e-45,1.45288511017995e-41
"BnaC02g01020D",-10.9488531467675,3.97118688457677,196.74233437785,1.07338619643078e-44,2.62974739097377e-41
"BnaC09g00080D",-7.08623785971146,5.21154569994249,195.943172118818,1.6038618097835e-44,3.75854555154438e-41
"BnaCnng03200D",9.04799205444449,4.24858392485135,195.076260393201,2.47952039719442e-44,5.56848624534925e-41
"BnaC09g02690D",7.89266371080207,5.23633733147168,193.713891360428,4.91709864338554e-44,1.05258200373417e-40
"BnaC06g15630D",8.35022357695209,4.80885507354999,193.597012291293,5.21457148896506e-44,1.05258200373417e-40
"BnaCnng10200D",9.37657213069428,4.59968079089139,193.52430131627,5.40864357546064e-44,1.05258200373417e-40
"BnaCnng03040D",8.37838648569761,4.53780210742141,193.502561448768,5.46805990919253e-44,1.05258200373417e-40
"BnaCnng19170D",-11.2470039593586,4.42130217625325,190.114073436724,3.00214258027509e-43,5.5797407908361e-40
"BnaC09g02950D",8.57823224054358,5.52178967478474,189.62426610149,3.8401311054597e-43,6.89930754843907e-40
"BnaCnng19160D",-8.03318041759364,4.0050427343286,189.399072861597,4.30032739405357e-43,7.47688213587398e-40
"BnaC06g25080D",8.3799400799578,5.18679723490242,188.372991337206,7.20244130861617e-43,1.21313870029095e-39
"BnaC03g00170D",6.88100319373184,4.79861167013637,188.015774725892,8.61898716891736e-43,1.40774178611357e-39
"BnaA09g01080D",8.42543470722105,6.32515874842786,187.772019714654,9.74239527392433e-43,1.48171887209032e-39
"BnaC02g05020D",-11.9182796821349,4.76527196354973,187.754187056798,9.83011204102388e-43,1.48171887209032e-39
"BnaA09g01570D",8.70412494888274,5.98125646226152,187.740768608575,9.89663618902977e-43,1.48171887209032e-39
"BnaCnng10240D",7.87574854919553,3.79964320476667,185.620466410224,2.873068633945e-42,4.18528449462167e-39
"BnaA09g00950D",10.6265597243926,3.62857066636588,185.488294060277,3.07043504485774e-42,4.35508890744177e-39
"BnaC03g30260D",8.08777918920147,4.5330232470681,185.326953206933,3.32982654053323e-42,4.60190565918463e-39
"BnaCnng01150D",-10.4330009806763,3.58465600113644,184.788399431068,4.36508159260664e-42,5.88183831899763e-39
"BnaC02g03470D",-8.58195242046541,3.84542459963853,184.362731529654,5.40655314405075e-42,7.10750751002906e-39
"BnaA09g01540D",10.3945881339929,3.51635220717009,184.071387821348,6.25928535684489e-42,8.03260051068054e-39
"BnaA10g27200D",-7.82691043660161,4.57493924341564,183.561129934158,8.08951042072914e-42,1.013991912016e-38
"BnaC04g17080D",8.7083108905529,3.73859534899643,183.365473668611,8.92560323605958e-42,1.0933661109554e-38
