"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA01g00910D"	"Multicopper oxidase, type 1, Cupredoxin, Multicopper oxidase, type 2, Multicopper oxidase, type 3"
"BnaA01g01090D"	"Helix-turn-helix motif, Homeodomain, Homeodomain-like, Homeobox, conserved site"
"BnaA01g01240D"	"SAM dependent carboxyl methyltransferase"
"BnaA01g01320D"	"Cytochrome P450, Cytochrome P450, E-class, group IV, Cytochrome P450, conserved site"
"BnaA01g01500D"	NA
"BnaA01g01550D"	"DnaJ domain"
"BnaA01g01800D"	"CRAL-TRIO domain"
"BnaA01g01840D"	"Protein of unknown function DUF241, plant"
"BnaA01g01910D"	"Homeodomain, Homeodomain-like"
"BnaA01g01960D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA01g02250D"	"Actin-binding, cofilin/tropomyosin type, ADF/Cofilin/Destrin"
"BnaA01g02460D"	"Ornithine/DAP/Arg decarboxylase, Arginine decarboxylase, Alanine racemase/group IV decarboxylase, C-terminal, Orn/DAP/Arg decarboxylase 2, C-terminal, Orn/DAP/Arg decarboxylase 2, N-terminal, Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site, Orn/DAP/Arg decarboxylase 2, conserved site"
"BnaA01g02920D"	"Domain of unknown function DUF303, acetylesterase putative"
"BnaA01g02990D"	"G-patch domain"
"BnaA01g03420D"	"Plant organelle RNA recognition domain"
"BnaA01g03600D"	"SAC3/GANP/Nin1/mts3/eIF-3 p25, Translation initiation factor 3, subunit 12, eukaryotic, Winged helix-turn-helix transcription repressor DNA-binding domain, Translation initiation factor 3, subunit 12, N-terminal, eukaryotic, Armadillo-type fold"
"BnaA01g03730D"	"5'(3')-deoxyribonucleotidase, HAD-like domain"
"BnaA01g03810D"	"Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain, Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site"
"BnaA01g04270D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA01g04330D"	NA
"BnaA01g04870D"	"Homeodomain, ELK, KNOX1, KNOX2, Homeobox KN domain, Homeodomain-like"
"BnaA01g05120D"	"O-methyltransferase, family 2, Winged helix-turn-helix transcription repressor DNA-binding domain, Caffeate O-methyltransferase (COMT) family"
"BnaA01g05220D"	"Zinc finger, CCCH-type, tRNA-dihydrouridine synthase, Aldolase-type TIM barrel, tRNA-dihydrouridine synthase, conserved site"
"BnaA01g05230D"	"GAGA binding-like"
"BnaA01g05240D"	"Kinesin, motor domain, Kinesin, motor region, conserved site, Protein of unknown function DUF3490"
"BnaA01g05280D"	"Multi antimicrobial extrusion protein"
"BnaA01g05300D"	"ATPase, V0 complex, subunit 116kDa"
"BnaA01g05320D"	"Cysteine peptidase, cysteine active site, Peptidase C1A, papain C-terminal, Peptidase C1A, papain, Proteinase inhibitor I29, cathepsin propeptide, Cysteine peptidase, histidine active site, Cysteine peptidase, asparagine active site"
"BnaA01g06050D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, EGF-like calcium-binding, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Wall-associated kinase, Tyrosine-protein kinase, catalytic domain, Wall-associated receptor kinase galacturonan-binding domain"
"BnaA01g06280D"	"WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain"
"BnaA01g06420D"	NA
"BnaA01g06440D"	NA
"BnaA01g07610D"	"Phosphofructokinase domain, Pyrophosphate-dependent phosphofructokinase TP0108, Phosphofructokinase"
"BnaA01g07750D"	"DNA topoisomerase, type IIA, subunit B, Alpha carbonic anhydrase, DNA topoisomerase, type IIA, DNA gyrase B subunit, C-terminal, Histidine kinase-like ATPase, ATP-binding domain, Toprim domain, DNA gyrase, subunit B, DNA topoisomerase, type IIA, subunit B, domain 2, DNA topoisomerase, type IIA, central domain, DNA topoisomerase, type IIA-like domain, Ribosomal protein S5 domain 2-type fold, subgroup, DNA topoisomerase, type IIA, conserved site, Ribosomal protein S5 domain 2-type fold"
"BnaA01g07810D"	"AUX/IAA protein, Aux/IAA-ARF-dimerisation"
"BnaA01g08420D"	"Protein of unknown function DUF679"
"BnaA01g08560D"	NA
"BnaA01g09690D"	"Heat shock factor (HSF)-type, DNA-binding, Winged helix-turn-helix transcription repressor DNA-binding domain"
"BnaA01g09840D"	"Disease resistance protein, Leucine-rich repeat, NB-ARC"
"BnaA01g10620D"	"Peptidase S8/S53 domain, Proteinase inhibitor I9, Peptidase S8, subtilisin-related, Peptidase S8, subtilisin,  Asp-active site, Peptidase S8, subtilisin, Ser-active site"
"BnaA01g10970D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA01g11290D"	NA
"BnaA01g11350D"	"F-box domain, cyclin-like"
